name,type,parameter1,parameter2,source,framework,print_to_output,element,print_as,mass,charge
Ac,lennard-jones,16.6,3.1,UFF,yes,yes,Ac,Ac,227,0
Ag,lennard-jones,18.11,2.8,UFF,yes,yes,Ag,Ag,107.868,0
Al,lennard-jones,156,3.91,DREIDING,yes,yes,Al,Al,26.982,0
Am,lennard-jones,7.04,3.01,UFF,yes,yes,Am,Am,243,0
Ar,lennard-jones,124.07,3.42,UFF,yes,yes,Ar,Ar,39.948,0
As,lennard-jones,155.47,3.77,UFF,yes,yes,As,As,74.922,0
At,lennard-jones,142.89,4.23,UFF,yes,yes,At,At,210,0
Au,lennard-jones,19.62,2.93,UFF,yes,yes,Au,Au,196.967,0
B,lennard-jones,47.81,3.58,DREIDING,yes,yes,B,B,10.811,0
Ba,lennard-jones,183.15,3.3,UFF,yes,yes,Ba,Ba,137.327,0
Be,lennard-jones,42.77,2.45,UFF,yes,yes,Be,Be,9.012,0
Bi,lennard-jones,260.63,3.89,UFF,yes,yes,Bi,Bi,208.98,0
Bk,lennard-jones,6.54,2.97,UFF,yes,yes,Bk,Bk,247,0
Br,lennard-jones,186.1912,3.51905,DREIDING,yes,yes,Br,Br,79.904,0
C,lennard-jones,47.86,3.47,UFF,yes,yes,C,C,12.011,0
Ca,lennard-jones,25.16,3.09,DREIDING,yes,yes,Ca,Ca,40.078,0
Cd,lennard-jones,114.72,2.54,UFF,yes,yes,Cd,Cd,112.411,0
Ce,lennard-jones,6.54,3.17,UFF,yes,yes,Ce,Ce,140.116,0
Cf,lennard-jones,6.54,2.95,UFF,yes,yes,Cf,Cf,251,0
Cl,lennard-jones,142.56,3.52,DREIDING,yes,yes,Cl,Cl,35.453,0
Cm,lennard-jones,6.54,2.96,UFF,yes,yes,Cm,Cm,247,0
Co,lennard-jones,7.04,2.56,UFF,yes,yes,Co,Co,58.933,0
Cr,lennard-jones,7.55,2.69,UFF,yes,yes,Cr,Cr,51.996,0
Cs,lennard-jones,22.64,4.02,UFF,yes,yes,Cs,Cs,132.905,0
Cu,lennard-jones,2.52,3.11,UFF,yes,yes,Cu,Cu,63.546,0
Dy,lennard-jones,3.52,3.02,UFF,yes,yes,Dy,Dy,162.5,0
Er,lennard-jones,3.52,3.05,UFF,yes,yes,Er,Er,167.26,0
Es,lennard-jones,6.04,2.93,UFF,yes,yes,Es,Es,252,0
Eu,lennard-jones,4.03,3.11,UFF,yes,yes,Eu,Eu,151.964,0
F,lennard-jones,36.48,3.09,DREIDING,yes,yes,F,F,18.998,0
Fe,lennard-jones,27.68,4.04,DREIDING,yes,yes,Fe,Fe,55.845,0
Fm,lennard-jones,6.04,2.93,UFF,yes,yes,Fm,Fm,257,0
Fr,lennard-jones,25.16,4.37,UFF,yes,yes,Fr,Fr,223,0
Ga,lennard-jones,208.81,3.9,UFF,yes,yes,Ga,Ga,69.723,0
Gd,lennard-jones,4.53,3,UFF,yes,yes,Gd,Gd,157.25,0
Ge,lennard-jones,190.69,3.81,UFF,yes,yes,Ge,Ge,72.61,0
H,lennard-jones,7.65,2.85,DREIDING,yes,yes,H,H,1.008,0
Hf,lennard-jones,36.23,2.8,UFF,yes,yes,Hf,Hf,178.49,0
Hg,lennard-jones,193.71,2.41,UFF,yes,yes,Hg,Hg,200.59,0
Ho,lennard-jones,3.52,3.04,UFF,yes,yes,Ho,Ho,164.93,0
I,lennard-jones,170.57,4.01,UFF,yes,yes,I,I,126.904,0
In,lennard-jones,301.39,3.98,UFF,yes,yes,In,In,114.818,0
Ir,lennard-jones,36.73,2.53,UFF,yes,yes,Ir,Ir,192.217,0
K,lennard-jones,17.61,3.4,UFF,yes,yes,K,K,39.098,0
La,lennard-jones,8.55,3.14,UFF,yes,yes,La,La,138.906,0
Li,lennard-jones,12.58,2.18,UFF,yes,yes,Li,Li,6.941,0
Lu,lennard-jones,20.63,3.24,UFF,yes,yes,Lu,Lu,174.967,0
Lw,lennard-jones,5.53,2.88,UFF,yes,yes,Lr,Lr,262,0
Md,lennard-jones,5.53,2.92,UFF,yes,yes,Md,Md,258,0
Mg,lennard-jones,55.85,2.69,UFF,yes,yes,Mg,Mg,24.305,0
Mn,lennard-jones,6.54,2.64,UFF,yes,yes,Mn,Mn,54.938,0
Mo,lennard-jones,28.18,2.72,UFF,yes,yes,Mo,Mo,95.94,0
N,lennard-jones,38.95,3.26,DREIDING,yes,yes,N,N,14.007,0
Na,lennard-jones,15.09,2.66,UFF,yes,yes,Na,Na,22.991,0
Nb,lennard-jones,29.69,2.82,UFF,yes,yes,Nb,Nb,92.906,0
Nd,lennard-jones,5.03,3.18,UFF,yes,yes,Nd,Nd,144.24,0
Ne,lennard-jones,21.13,2.66,UFF,yes,yes,Ne,Ne,20.18,0
Ni,lennard-jones,7.55,2.52,UFF,yes,yes,Ni,Ni,58.693,0
No,lennard-jones,5.53,2.89,UFF,yes,yes,No,No,259,0
Np,lennard-jones,9.56,3.05,UFF,yes,yes,Np,Np,237,0
O,lennard-jones,48.16,3.03,DREIDING,yes,yes,O,O,15.999,0
Os,lennard-jones,18.62,2.78,UFF,yes,yes,Os,Os,190.23,0
P,lennard-jones,161.03,3.7,DREIDING,yes,yes,P,P,30.974,0
Pa,lennard-jones,11.07,3.05,UFF,yes,yes,Pa,Pa,231.036,0
Pb,lennard-jones,333.59,3.83,UFF,yes,yes,Pb,Pb,207.2,0
Pd,lennard-jones,24.15,2.58,UFF,yes,yes,Pd,Pd,106.42,0
Pm,lennard-jones,4.53,3.16,UFF,yes,yes,Pm,Pm,145,0
Po,lennard-jones,163.52,4.2,UFF,yes,yes,Po,Po,210,0
Pr,lennard-jones,5.03,3.21,UFF,yes,yes,Pr,Pr,140.908,0
Pt,lennard-jones,40.25,2.45,UFF,yes,yes,Pt,Pt,195.078,0
Pu,lennard-jones,8.05,3.05,UFF,yes,yes,Pu,Pu,244,0
Ra,lennard-jones,203.27,3.28,UFF,yes,yes,Ra,Ra,226,0
Rb,lennard-jones,20.13,3.67,UFF,yes,yes,Rb,Rb,85.468,0
Re,lennard-jones,33.21,2.63,UFF,yes,yes,Re,Re,186.207,0
Rh,lennard-jones,26.67,2.61,UFF,yes,yes,Rh,Rh,102.906,0
Rn,lennard-jones,124.78,4.25,UFF,yes,yes,Rn,Rn,222,0
Ru,lennard-jones,28.18,2.64,UFF,yes,yes,Ru,Ru,101.07,0
S,lennard-jones,173.11,3.59,DREIDING,yes,yes,S,S,32.066,0
Sb,lennard-jones,225.91,3.94,UFF,yes,yes,Sb,Sb,121.76,0
Sc,lennard-jones,9.56,2.94,UFF,yes,yes,Sc,Sc,44.956,0
Se,lennard-jones,146.42,3.75,UFF,yes,yes,Se,Se,78.96,0
Si,lennard-jones,156,3.8,DREIDING,yes,yes,Si,Si,28.086,0
Sm,lennard-jones,4.03,3.14,UFF,yes,yes,Sm,Sm,150.36,0
Sn,lennard-jones,285.28,3.91,UFF,yes,yes,Sn,Sn,118.71,0
Sr,lennard-jones,118.24,3.24,UFF,yes,yes,Sr,Sr,87.62,0
Ta,lennard-jones,40.75,2.82,UFF,yes,yes,Ta,Ta,180.948,0
Tb,lennard-jones,3.52,3.07,UFF,yes,yes,Tb,Tb,158.925,0
Tc,lennard-jones,24.15,2.67,UFF,yes,yes,Tc,Tc,98,0
Te,lennard-jones,200.25,3.98,UFF,yes,yes,Te,Te,127.6,0
Th,lennard-jones,13.08,3.03,UFF,yes,yes,Th,Th,232.038,0
Ti,lennard-jones,8.55,2.83,UFF,yes,yes,Ti,Ti,47.867,0
Tl,lennard-jones,342.14,3.87,UFF,yes,yes,Tl,Tl,204.383,0
Tm,lennard-jones,3.02,3.01,UFF,yes,yes,Tm,Tm,168.934,0
U,lennard-jones,11.07,3.02,UFF,yes,yes,U,U,238.029,0
V,lennard-jones,8.05,2.8,UFF,yes,yes,V,V,50.942,0
W,lennard-jones,33.71,2.73,UFF,yes,yes,W,W,183.84,0
Y,lennard-jones,36.23,2.98,UFF,yes,yes,Y,Y,88.906,0
Yb,lennard-jones,114.72,2.99,UFF,yes,yes,Yb,Yb,173.04,0
Zn,lennard-jones,27.68,4.04,DREIDING,yes,yes,Zn,Zn,65.39,0
Zr,lennard-jones,34.72,2.78,UFF,yes,yes,Zr,Zr,91.224,0
Xe,lennard-jones,167.04,3.92,UFF,no,yes,Xe,Xe,131.29,0
Kr,lennard-jones,110.69,3.69,UFF,no,yes,Kr,Kr,83.8,0
