T,P1,U1
298,1.015853112,2.422077922
,0.948619197,2.409090909
,0.900354531,2.38961039
,0.814170025,2.350649351
,0.73487834,2.318181818
,0.700403045,2.305194805
,0.655594119,2.272727273
,0.584923123,2.24025974
,0.574585759,2.227272727
,0.490140319,2.162337662
,0.467741454,2.136363636
,0.409154351,2.077922078
,0.350582176,1.993506494
,0.307516047,1.928571429
,0.254131214,1.818181818
,0.226582326,1.753246753
,0.202489177,1.675324675
,0.166356919,1.545454545
,0.147436185,1.467532468
,0.133684132,1.396103896
,0.109628303,1.253246753
,0.107919092,1.227272727
,0.082172712,1.025974026
,0.066715181,0.922077922
,0.03929691,0.62987013
,0.029067771,0.428571429
,0.013681146,0.201298701
